id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1552328936889122820,1552290252034899968,2022-07-27 18:23:54 CEST,2022-07-27,18:23:54,+0200,1310425875201110017,dannagarciaaa__,danna,,"@Vaaaalbg @mariobautista_ Futura colega?😮‍💨😮‍💨 Felicidades bb, la mejor carrera que pudiste elegir sin duda, échale muchas ganas💖",es,[],[],[],0,0,1,[],[],https://twitter.com/dannagarciaaa__/status/1552328936889122820,False,,0,,,,,,,,"[{'screen_name': 'Vaaaalbg', 'name': 'Val, novia de Wichis;♕', 'id': '4705493959'}, {'screen_name': 'mariobautista_', 'name': 'MarioBautista.eth', 'id': '150003563'}]",,,,
1552328119410991104,1552328119410991104,2022-07-27 18:20:39 CEST,2022-07-27,18:20:39,+0200,1109172690957619200,valeria_deffitt,𝓥𝓪𝓵𝓮.,,ahora tengo que elegir cuál carrera me gusta más,es,[],[],[],1,0,0,[],[],https://twitter.com/valeria_deffitt/status/1552328119410991104,False,,0,,,,,,,,[],,,,
1552322460619612160,1552285281126072320,2022-07-27 17:58:10 CEST,2022-07-27,17:58:10,+0200,1077676787080024065,sergiodq_05,Domi_05,,@Kei2_Returns Yo hice la Selectividad dos veces. Una porque era mi año y otra el año pasado para subir nota para cambiarme de carrera. Yo venia del formato de selectividad Opcion A y B y mi sorpresa cuando vi que eran 10 ejercicios para elegir 5... Es que es facilisimo aprobar,es,[],[],[],0,0,1,[],[],https://twitter.com/Sergiodq_05/status/1552322460619612160,False,,0,,,,,,,,"[{'screen_name': 'Kei2_Returns', 'name': 'Baby Cory', 'id': '1503818862848057355'}]",,,,
1552318483442147331,1552318060299796480,2022-07-27 17:42:21 CEST,2022-07-27,17:42:21,+0200,515048051,ximee_mar,Magos𐇵,,"Pero bueno, estoy muy lejos de ser alguien destacable en la carrera y aún tengo muchas inseguridades. Pero la verdad si me gusta mucho lo que estudie, me hace feliz y yo volvería a elegir esto mil y un veces más ✨😌.",es,[],[],[],0,0,2,[],[],https://twitter.com/ximee_mar/status/1552318483442147331,False,,0,,,,,,,,[],,,,
1552318216722161665,1552318216722161665,2022-07-27 17:41:18 CEST,2022-07-27,17:41:18,+0200,1275853104613908481,joaquiincs_,Joaquin Canchales,,@eleenaem_17 se piensa que elegir que carrera estudiar es como elegir que ropa ponerte un sábado,es,[],[],[],1,0,2,[],[],https://twitter.com/joaquiincs_/status/1552318216722161665,False,,0,,,,,,,,[],,,,
1552317111934111747,1552316631426015233,2022-07-27 17:36:54 CEST,2022-07-27,17:36:54,+0200,1960883412,unluckynoose,Technomori 👑🐷🎗,,@opsuVzla Aja y donde podemos elegir otra carrera si no estamos conformes como decía el anterior post?,es,[],[],[],0,0,1,[],[],https://twitter.com/UnluckyNoose/status/1552317111934111747,False,,0,,,,,,,,"[{'screen_name': 'opsuVzla', 'name': 'OPSUoficial', 'id': '1255549814252670976'}]",,,,
1552315867811270656,1552313934333485057,2022-07-27 17:31:58 CEST,2022-07-27,17:31:58,+0200,2983026106,josepginer17,Yøsius 🇳🇴,,@sammwy 😭 Tu me ayudaste a elegir la carrera que estoy haciendo ahora por que vi los proyectos que hacias y me motivó a seguir Gracias por todo Sammy &lt;3!,es,[],[],[],1,0,2,[],[],https://twitter.com/josepginer17/status/1552315867811270656,False,,0,,,,,,,,"[{'screen_name': 'sammwy', 'name': '.', 'id': '874693583013634048'}]",,,,
1552315000936701953,1551649298416373764,2022-07-27 17:28:31 CEST,2022-07-27,17:28:31,+0200,1960883412,unluckynoose,Technomori 👑🐷🎗,,@opsuVzla ¿Donde puedo elegir una nueva opción universitaria?  Debido a que me asignaron en una carrera de una universidad que ni de lejos había elegido.,es,[],[],[],0,0,0,[],[],https://twitter.com/UnluckyNoose/status/1552315000936701953,False,,0,,,,,,,,"[{'screen_name': 'opsuVzla', 'name': 'OPSUoficial', 'id': '1255549814252670976'}]",,,,
1552310384148811776,1552310384148811776,2022-07-27 17:10:10 CEST,2022-07-27,17:10:10,+0200,1535763603483238400,aldo_ag5,Cabecita Amezcua,,"Yo sé que ni tu grado de estudios ni lo que estudias te define como persona, pero qué es esa mamada de elegir una carrera ‘Porque no trai matematicas’?",es,[],[],[],1,0,1,[],[],https://twitter.com/Aldo_AG5/status/1552310384148811776,False,,0,,,,,,,,[],,,,
1552306712815833088,1552302420654448641,2022-07-27 16:55:35 CEST,2022-07-27,16:55:35,+0200,1202239436173561856,bea8181,Bea,,"@_sita_ @ngelaSnchezPas1 Nos deberían dar a elegir una carrera...es decir tenéis derecho a que os regalemos una en plan Derecho, Física cuántica, AD, Biología marina...",es,[],[],[],1,0,1,[],[],https://twitter.com/Bea8181/status/1552306712815833088,False,,0,,,,,,,,"[{'screen_name': '_sita_', 'name': 'Sita 🦋', 'id': '317423394'}, {'screen_name': 'ngelaSnchezPas1', 'name': 'AsP 🐷🐷🐷', 'id': '1156575558580539397'}]",,,,
